No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,CTRM,142.32M,-,-,-,13.00,0.97,-,-,-,-,-,-,-,0.39,2.47%,"118,802,594"
2,NAKD,94.20M,-,-,-,1.58,-,7.19,-,58.00%,-,9.50%,-,-8.30%,0.39,-3.28%,"79,555,430"
3,SNDL,595.51M,-,-,-,10.97,1.33,35.66,-,-275.50%,81.00%,-,-,-,0.56,-6.59%,"278,112,806"
4,AEZS,46.12M,-,-,-,35.48,2.51,2.13,-,-240.50%,-,58.80%,-,117.20%,0.68,2.21%,"10,074,445"
5,ASRT,81.25M,-,6.30,-,0.60,1.08,-,-,-634.30%,-26.67%,-28.50%,25.00%,-10.10%,0.69,0.43%,"6,978,494"
6,ONTX,151.44M,-,-,-,757.19,10.00,6.26,-,70.00%,0.00%,67.90%,-,22.20%,0.70,2.16%,"16,205,287"
7,SXTC,45.55M,-,-,-,8.76,1.84,6.24,56.94,-656.00%,-,-,-,-,0.70,8.51%,"8,525,616"
8,LKCO,148.09M,-,-,-,7.88,2.71,740.43,-,-162.00%,-,-17.20%,-,16.30%,0.70,7.80%,"4,890,686"
9,ACST,70.36M,-,-,-,-,7.89,-,-,30.30%,34.00%,-,-,-,0.73,-4.20%,"18,884,689"
10,GHSI,69.56M,-,-,-,36.61,6.27,7.10,-,22.50%,-,-40.90%,-,40.60%,0.75,-3.47%,"11,002,835"
11,ADXS,76.97M,-,-,-,256.57,1.81,3.05,-,-,-,-,-,-,0.78,2.29%,"15,227,266"
12,CSCW,49.99M,-,-,-,-,1.55,49.99,-,61.00%,-,27.10%,20.00%,-,0.88,-3.28%,"6,050,980"
13,RIBT,36.55M,-,-,-,1.45,1.58,9.37,-,-15.80%,73.30%,36.00%,40.00%,-10.00%,0.90,1.45%,"471,804"
14,RETO,22.70M,-,-,-,1.60,0.65,-,-,-565.00%,-,-,-,16.50%,0.91,-4.70%,"410,595"
15,REED,62.04M,-,-,-,1.63,91.67,68.94,-,-12.90%,37.50%,-51.20%,20.00%,-4.90%,0.92,-4.51%,"1,078,690"
16,STAF,16.20M,-,1.23,-,0.08,-,2.19,-,42.70%,137.30%,47.90%,-,16.70%,0.92,-0.49%,"1,197,757"
